Date,N_Stocks,Allocation
2019-01-31,10,"OrderedDict({'AIR.PA': 0.02, 'CA.PA': 0.25, 'ENGI.PA': 0.25, 'KER.PA': 0.13704, 'MC.PA': 0.02, 'OR.PA': 0.02, 'RMS.PA': 0.02, 'RNO.PA': 0.02, 'SAF.PA': 0.24296, 'STLAP.PA': 0.02})"
2019-02-28,16,"OrderedDict({'AIR.PA': 0.02, 'BNP.PA': 0.02, 'CAP.PA': 0.02, 'CS.PA': 0.02, 'DG.PA': 0.02, 'DSY.PA': 0.02, 'EN.PA': 0.25, 'KER.PA': 0.14836, 'LR.PA': 0.25, 'MC.PA': 0.02, 'ML.PA': 0.02, 'RMS.PA': 0.02, 'SAF.PA': 0.11164, 'STLAP.PA': 0.02, 'SU.PA': 0.02, 'VIV.PA': 0.02})"
2019-03-29,10,"OrderedDict({'AIR.PA': 0.17122, 'DG.PA': 0.22687, 'KER.PA': 0.23191, 'MC.PA': 0.02, 'OR.PA': 0.02, 'ORA.PA': 0.25, 'RI.PA': 0.02, 'RMS.PA': 0.02, 'STLAP.PA': 0.02, 'VIV.PA': 0.02})"
2019-04-30,20,"OrderedDict({'AI.PA': 0.02, 'AIR.PA': 0.02, 'CS.PA': 0.02, 'DG.PA': 0.02, 'DSY.PA': 0.02, 'EN.PA': 0.25, 'ERF.PA': 0.13976, 'FR.PA': 0.02, 'LR.PA': 0.25, 'MC.PA': 0.02, 'ML.PA': 0.02, 'OR.PA': 0.02, 'PUB.PA': 0.02, 'RMS.PA': 0.02, 'SAF.PA': 0.04024, 'SGO.PA': 0.02, 'STLAP.PA': 0.02, 'SU.PA': 0.02, 'VIE.PA': 0.02, 'VIV.PA': 0.02})"
2019-05-31,0,{}
2019-06-28,10,"OrderedDict({'AI.PA': 0.11995, 'EL.PA': 0.02, 'FR.PA': 0.25, 'HO.PA': 0.14871, 'LR.PA': 0.25, 'MC.PA': 0.02, 'RMS.PA': 0.02, 'STLAP.PA': 0.02, 'SU.PA': 0.13134, 'WLN.PA': 0.02})"
2019-07-31,5,"OrderedDict({'AI.PA': 0.16281, 'ALO.PA': 0.39719, 'EL.PA': 0.02, 'STLAP.PA': 0.02, 'VIE.PA': 0.4})"
2019-08-30,5,"OrderedDict({'DG.PA': 0.4, 'EL.PA': 0.13399, 'EN.PA': 0.4, 'RI.PA': 0.02619, 'STLAP.PA': 0.03982})"
2019-09-30,8,"OrderedDict({'CS.PA': 0.02, 'EN.PA': 0.2248, 'ENGI.PA': 0.25, 'ORA.PA': 0.25, 'SAF.PA': 0.1952, 'SAN.PA': 0.02, 'STLAP.PA': 0.02, 'VIE.PA': 0.02})"
2019-10-31,6,"OrderedDict({'AIR.PA': 0.02, 'KER.PA': 0.29001, 'LR.PA': 0.33333, 'OR.PA': 0.02, 'STLAP.PA': 0.02, 'STMPA.PA': 0.31666})"
2019-11-29,13,"OrderedDict({'AI.PA': 0.02, 'ATO.PA': 0.02, 'BNP.PA': 0.02473, 'DSY.PA': 0.02, 'EL.PA': 0.02, 'ERF.PA': 0.19359, 'GLE.PA': 0.25, 'KER.PA': 0.15631, 'MC.PA': 0.02, 'RMS.PA': 0.02, 'STLAP.PA': 0.02, 'STMPA.PA': 0.21537, 'TEP.PA': 0.02})"
2019-12-31,9,"OrderedDict({'AI.PA': 0.02675, 'ALO.PA': 0.08598, 'BNP.PA': 0.12087, 'GLE.PA': 0.25, 'KER.PA': 0.2064, 'STLAP.PA': 0.02, 'STMPA.PA': 0.25, 'VIV.PA': 0.02, 'WLN.PA': 0.02})"
2020-01-31,6,"OrderedDict({'AI.PA': 0.19651, 'ALO.PA': 0.17454, 'ENGI.PA': 0.33333, 'HO.PA': 0.06624, 'STLAP.PA': 0.02, 'VIE.PA': 0.20939})"
2020-02-28,0,{}
2020-03-31,0,{}
2020-04-30,0,{}
2020-05-29,5,"OrderedDict({'DSY.PA': 0.02, 'ERF.PA': 0.4, 'RMS.PA': 0.0646, 'SGO.PA': 0.4, 'STLAP.PA': 0.1154})"
2020-06-30,6,"OrderedDict({'ATO.PA': 0.04513, 'LR.PA': 0.33333, 'OR.PA': 0.2482, 'STLAP.PA': 0.02, 'SU.PA': 0.33333, 'WLN.PA': 0.02})"
2020-07-31,3,"OrderedDict({'AI.PA': 0.66667, 'STLAP.PA': 0.31333, 'TEP.PA': 0.02})"
2020-08-31,0,{}
2020-09-30,0,{}
2020-10-30,0,{}
2020-11-30,16,"OrderedDict({'AIR.PA': 0.02, 'ALO.PA': 0.02, 'ATO.PA': 0.02, 'BNP.PA': 0.02, 'CS.PA': 0.02, 'FR.PA': 0.02, 'GLE.PA': 0.18706, 'MC.PA': 0.02, 'ORA.PA': 0.25, 'PUB.PA': 0.02, 'RI.PA': 0.02, 'RNO.PA': 0.02, 'SAF.PA': 0.02, 'STLAP.PA': 0.02, 'STMPA.PA': 0.07294, 'TTE.PA': 0.25})"
2020-12-31,5,"{'CAP.PA': 0.2, 'DSY.PA': 0.2, 'MC.PA': 0.2, 'RMS.PA': 0.2, 'STLAP.PA': 0.2}"
2021-01-29,0,{}
2021-02-26,7,"OrderedDict({'BNP.PA': 0.28571, 'CS.PA': 0.28571, 'GLE.PA': 0.28571, 'ML.PA': 0.08286, 'PUB.PA': 0.02, 'SGO.PA': 0.02, 'STLAP.PA': 0.02})"
2021-03-31,11,"OrderedDict({'CA.PA': 0.25, 'CAP.PA': 0.02, 'CS.PA': 0.11, 'LR.PA': 0.25, 'OR.PA': 0.02, 'ORA.PA': 0.25, 'PUB.PA': 0.02, 'SAN.PA': 0.02, 'SGO.PA': 0.02, 'STLAP.PA': 0.02, 'TEP.PA': 0.02})"
2021-04-30,13,"OrderedDict({'CA.PA': 0.23184, 'CAP.PA': 0.02, 'CS.PA': 0.02, 'DG.PA': 0.08727, 'GLE.PA': 0.25, 'KER.PA': 0.20052, 'MC.PA': 0.02, 'OR.PA': 0.02, 'RMS.PA': 0.02, 'SAN.PA': 0.02, 'SGO.PA': 0.02, 'VIE.PA': 0.07037, 'WLN.PA': 0.02})"
2021-05-31,11,"OrderedDict({'AIR.PA': 0.02, 'CA.PA': 0.21855, 'ERF.PA': 0.10276, 'GLE.PA': 0.25, 'KER.PA': 0.08508, 'LR.PA': 0.2236, 'MC.PA': 0.02, 'OR.PA': 0.02, 'RI.PA': 0.02, 'RMS.PA': 0.02, 'STLAP.PA': 0.02})"
2021-06-30,8,"OrderedDict({'CAP.PA': 0.18548, 'DSY.PA': 0.02, 'EL.PA': 0.23363, 'ERF.PA': 0.25, 'LR.PA': 0.25, 'RI.PA': 0.02089, 'RMS.PA': 0.02, 'TEP.PA': 0.02})"
